"a" "b" "value"
101 7 34.612812844 
61 16 16.151767466 
101 11 22.771065347 
101 13 25.373762715 
101 17 28.587775271 
10 3 42.899581805 
10 18 26.473746718 
90 16 21.63770055 
90 17 33.773960473 
64 2 28.307944655 
105 4 43.07266467 
93 3 30.841103127 
64 6 26.382477999 
105 9 32.409522633 
109 2 29.139706903 
39 2 15.299373215 
39 3 26.27277061 
39 10 21.730239041 
39 12 20.663079416 
39 15 6.418656705 
39 17 22.883222216 
79 10 14.462788854 
79 16 9.614612148 
28 2 22.347651072 
28 6 14.709920546 
28 10 16.618586246 
68 3 33.848261757 
28 12 27.711357273 
28 15 13.466934562 
28 17 29.931500073 
68 18 17.42242667 
49 2 20.359953489 
17 3 23.246189086 
17 14 16.531893057 
17 16 5.048103995 
57 10 23.919731289 
57 12 22.852571664 
57 15 8.608148953 
57 17 25.072714464 
97 10 36.766437162 
57 19 25.981603044 
97 15 21.454854826 
43 4 35.820998126 
97 18 26.412674981 
112 14 18.932564584 
6 2 15.515018298 
6 3 26.488415693 
46 1 21.281118666 
12 9 33.950810473 
46 5 10.488456062 
46 7 23.864510086 
12 13 21.720930609 
6 17 23.098867299 
6 19 24.007755879 
46 13 14.625459957 
86 6 10.270476093 
46 17 27.050637903 
86 10 12.179141793 
86 12 29.124753371 
86 15 14.88033066 
86 17 31.344896171 
55 5 12.642498679 
109 10 27.291823884 
55 11 25.973770514 
35 9 20.316259413 
75 2 21.883918872 
35 11 11.149255581 
35 13 16.781579836 
35 16 13.552146246 
75 10 28.314784698 
75 12 27.247625073 
47 8 26.573325703 
75 17 29.467767873 
75 19 30.376656453 
115 13 15.74242444 
115 14 27.598474758 
24 2 20.93727104 
24 3 30.233206695 
24 10 27.368136866 
24 12 26.300977241 
24 14 17.453106783 
24 15 12.05655453 
24 17 28.521120041 
64 10 35.267507286 
64 12 33.671650856 
104 6 3.623143178 
104 7 16.439452282 
64 16 19.48239166 
64 17 35.891793656 
64 19 36.800682236 
53 0 43.1090918 
13 9 20.962916458 
13 11 11.795912626 
53 8 25.321720221 
93 2 19.867705732 
93 8 11.816139457 
93 14 14.65757979 
93 15 10.986989222 
95 11 8.957641689 
41 2 40.599885189 
58 2 20.611612317 
70 8 17.609299964 
2 12 22.791943082 
58 10 27.299724624 
42 9 16.736998871 
42 11 7.569995039 
42 13 13.202319294 
82 9 17.165902916 
82 10 21.957147173 
2 8 7.67605269 
2 14 10.517493023 
82 6 6.772488126 
2 17 22.036114897 
82 0 23.62328744 
100 2 21.775864058 
82 19 22.772519653 
57 2 17.488865463 
82 7 19.58879723 
57 6 25.601135464 
31 0 38.807186063 
31 1 25.87152746 
31 4 42.108890652 
31 5 15.078864856 
31 9 31.445748615 
31 13 19.215868751 
71 6 28.412464764 
71 10 30.321130464 
20 1 18.349808489 
20 18 18.701586318 
60 14 24.666333871 
60 16 13.182544809 
60 19 22.299584604 
100 12 27.139570259 
100 14 14.8651202 
100 17 26.383742074 
6 10 21.945884124 
6 12 20.878724499 
6 15 6.634301788 
9 6 16.467270727 
9 7 29.283579831 
9 11 31.498875951 
49 8 10.607769298 
49 12 25.72365969 
49 14 13.449209631 
89 8 17.313193046 
49 17 24.967831505 
89 14 21.516883494 
38 2 53.87172463 
78 2 53.63021038 
38 13 51.57559369 
38 17 41.737050733 
78 13 51.33407944 
78 17 41.495536483 
27 0 38.490529337 
27 8 20.703157758 
87 2 25.57596762 
67 3 32.981129037 
104 11 18.654748402 
67 18 16.55529395 
107 13 18.99330265 
107 14 30.849352968 
72 9 25.420195183 
72 11 16.253191351 
112 3 29.405758448 
16 18 16.535106369 
56 14 25.586008076 
56 16 14.102219014 
56 18 23.388748298 
5 3 33.523120518 
5 6 22.316763817 
5 16 15.416677478 
45 11 24.594927807 
45 14 23.076747824 
45 16 11.592958762 
45 19 20.709998557 
85 14 31.643502846 
85 17 43.16212472 
34 1 13.592331673 
34 2 15.086628371 
34 7 27.150775542 
34 12 20.450334572 
34 17 22.670477372 
34 19 23.579365952 
115 5 11.605420545 
75 3 32.857316267 
114 9 23.466189797 
114 11 14.299185965 
114 13 19.93151022 
75 15 13.003202362 
105 7 29.418692898 
23 2 39.865059519 
11 16 4.589274707 
23 7 51.92920669 
23 12 45.22876572 
63 8 20.784828014 
23 17 47.44890852 
63 14 23.626268347 
63 17 35.144890221 
40 0 22.285166329 
12 1 28.376589318 
12 4 44.61395251 
12 5 17.583926714 
12 7 30.959980738 
98 2 19.895949258 
52 5 19.81484465 
52 7 33.190898674 
98 7 31.960096429 
52 13 23.951848545 
52 14 35.807898863 
92 14 24.933037276 
92 16 13.449248214 
92 19 22.566288009 
101 5 21.23675882 
1 2 16.348795114 
1 3 27.322192509 
1 4 42.494474633 
1 9 31.831332596 
1 10 22.77966094 
1 12 21.712501315 
41 6 38.674418533 
1 15 7.468078604 
1 17 23.932644115 
41 10 47.55944782 
1 19 24.841532695 
41 12 45.96359139 
81 6 7.708803216 
81 7 20.52511232 
41 16 31.774332194 
41 17 48.18373419 
41 19 49.09262277 
30 2 14.407970408 
30 3 25.381367803 
70 0 35.396671543 
30 10 20.838836234 
30 15 5.527253898 
30 17 21.991819409 
5 18 17.097285431 
30 19 22.900707989 
70 14 16.455152687 
70 16 4.971363625 
110 10 17.184990862 
70 19 14.08840342 
110 14 18.620110207 
107 5 14.856298755 
107 7 28.232352779 
107 8 30.565807563 
86 2 23.76104717 
85 2 39.407996229 
85 8 28.802062513 
59 0 49.02738186 
59 3 41.642337895 
59 10 36.525260827 
99 3 24.083969057 
59 12 36.032646701 
59 15 21.213678491 
59 18 26.171498646 
59 19 39.161678081 
99 14 17.369673028 
99 16 5.885883966 
66 6 10.868761143 
66 8 22.385245196 
8 1 18.245189714 
8 4 34.482552906 
8 5 7.45252711 
8 9 23.819410869 
8 13 11.589531005 
48 6 3.594868872 
48 7 16.411177976 
48 11 16.913026797 
88 6 15.542813457 
66 0 40.172616775 
66 5 11.740757504 
37 6 21.251848227 
37 7 34.068157331 
37 11 36.283453451 
100 8 12.023679867 
77 12 33.990362791 
77 15 19.74594008 
77 17 33.216770403 
26 2 15.724542297 
26 8 5.972358106 
26 12 21.088248498 
26 14 8.813798439 
26 17 20.332420313 
66 10 12.777426843 
66 18 21.285027378 
106 14 27.320258246 
106 16 15.836469184 
81 11 22.74040844 
15 5 18.90378256 
15 7 32.279836584 
55 1 23.435161283 
55 4 39.672524475 
55 7 23.758474394 
55 9 29.009382438 
15 18 26.358602438 
55 13 16.779502574 
95 9 18.124645521 
95 13 14.589965944 
4 1 24.632151064 
4 7 34.165590838 
44 0 33.670195136 
4 9 30.206186329 
4 11 21.039182497 
4 12 31.490153963 
44 8 15.882823557 
4 17 33.710296763 
4 19 34.619185343 
84 6 25.895555848 
84 8 31.829117433 
44 18 22.280874338 
84 12 33.184728705 
84 14 34.670557766 
84 16 18.995469509 
84 17 35.404871505 
33 6 25.483248654 
33 10 27.391914354 
113 2 30.605040492 
113 6 21.704560747 
113 7 34.520869851 
113 11 36.736165971 
113 12 35.968746693 
113 19 39.097778073 
80 2 33.405593586 
22 7 49.52644966 
62 1 35.142215628 
22 12 42.82600869 
22 15 30.217979184 
22 16 34.323963808 
22 17 45.04615149 
22 18 35.175799339 
62 13 28.486556919 
102 10 30.742348246 
102 12 29.675188621 
102 15 15.43076591 
102 17 31.895331421 
102 19 32.804220001 
11 3 22.787359798 
51 0 28.323054427 
51 2 15.560224298 
51 3 26.533621693 
51 6 11.472255113 
51 12 20.923930499 
51 15 6.679507788 
91 14 35.00061457 
91 16 23.516825508 
116 11 23.605489617 
116 6 8.573884393 
116 7 21.390193497 
118 14 26.196985433 
118 2 19.29413133 
118 7 23.579985244 
118 12 24.657837531 
118 17 26.877980331 
119 14 15.058046692 
119 17 26.576668566 
119 8 12.216606359 
119 2 21.96879055 
120 19 37.234449411 
120 10 35.172577656 
120 15 19.86099532 
120 14 30.693005836 
120 3 37.407301865 
120 17 36.325560831 
120 2 28.74171183 
120 12 34.105418031 
121 18 28.196124508 
121 3 44.621959595 
122 11 19.169754525 
122 19 22.661888493 
122 6 4.138149301 
122 10 20.600016738 
122 15 5.288434402 
122 7 16.954458405 
122 2 14.169150912 
122 12 19.532857113 
123 16 22.999453074 
123 3 41.197538165 
123 17 25.572693004 
124 14 19.482046999 
124 16 19.370690184 
124 3 37.568775275 
124 17 31.000668873 
126 11 27.278125564 
126 19 35.632024059 
126 6 12.24652034 
126 10 34.098849109 
126 7 25.062829444 
126 2 27.139286478 
126 12 32.502992679 
127 18 22.270359353 
127 15 17.312539198 
127 14 16.032961106 
127 8 13.191520773 
127 17 27.55158298 
128 2 19.742630412 
128 17 24.350508428 
128 8 9.990446221 
128 12 25.106336613 
130 10 33.159694096 
130 15 17.84811176 
130 14 32.829798497 
130 3 37.702225665 
130 2 26.72882827 
130 17 34.312677271 
130 19 35.221565851 
131 5 12.509966705 
131 13 16.6469706 
131 1 23.302629309 
131 7 25.886020729 
132 18 37.197056219 
132 10 47.5508184 
132 13 40.425524103 
132 15 32.239236064 
132 16 36.345220688 
133 11 22.918793948 
133 19 15.979523977 
133 5 9.956027481 
133 13 14.093031376 
133 7 20.703497828 
134 15 5.393423015 
134 3 25.24753692 
134 17 21.857988526 
134 2 14.274139525 
134 12 19.637845726 
135 18 10.85156788 
135 3 27.277402967 
135 1 18.452716736 
135 5 7.660054132 
136 18 10.743682445 
136 3 27.169517532 
137 14 20.401555974 
137 16 8.917766912 
137 19 18.034806707 
137 8 23.355016871 
138 14 23.474268851 
138 13 11.618218533 
138 8 21.807799611 
138 7 20.857268662 
138 5 7.481214638 
139 18 18.43098672 
139 10 22.611867214 
139 15 7.300284878 
139 12 21.544707589 
140 14 24.630100028 
140 7 22.013099839 
140 5 8.637045815 
140 13 12.77404971 
141 11 38.068131611 
141 14 29.895848366 
141 16 18.412059304 
141 7 35.852835491 
142 6 13.438417147 
142 7 26.254726251 
142 14 24.514410911 
143 16 16.404227984 
143 17 22.946039492 
145 14 21.924442887 
145 16 10.440653825 
145 3 28.638738916 
146 6 3.706963653 
146 10 18.8916227 
146 0 20.557762967 
146 7 16.523272757 
146 19 19.70699518 
146 4 24.76352048 
146 9 14.100378443 
147 18 24.983444263 
147 10 19.45089037 
147 15 20.025624108 
147 14 15.738978261 
147 8 12.897537928 
147 17 27.257600135 
148 9 34.765774369 
148 11 25.598770537 
148 13 31.231094792 
149 18 11.030525675 
149 3 27.456360762 
150 13 14.194147316 
150 4 33.732405389 
150 9 23.069263352 
150 1 20.849806025 
150 5 10.057143421 
151 4 33.571376255 
151 9 22.908234218 
151 1 17.334013063 
151 5 6.541350459 
151 7 19.917404483 
151 13 10.678354354 
152 7 25.877584932 
152 4 39.531556704 
152 9 28.868414667 
152 1 23.294193512 
152 5 12.501530908 
152 13 16.638534803 
153 14 15.813826145 
153 16 4.330037083 
153 3 22.528122174 
154 10 24.872766684 
154 15 16.9587202 
154 14 34.291495396 
154 17 33.423285711 
154 2 25.83943671 
154 12 31.203142911 
155 14 23.587247748 
155 13 19.530364892 
155 19 21.220498481 
155 5 15.393360997 
155 7 28.769415021 
156 6 21.684632173 
156 10 25.906469295 
156 3 30.449000864 
156 2 19.475603469 
156 12 24.83930967 
156 17 27.05945247 
157 4 44.67848351 
157 9 34.015341473 
157 1 28.441120318 
157 5 17.648457714 
157 7 31.024511738 
157 13 21.785461609 
159 17 37.853983358 
159 8 23.493921151 
159 14 26.335361484 
159 2 33.246105342 
159 12 38.609811543 
160 10 37.837831716 
160 15 22.52624938 
160 14 39.32988144 
160 3 42.380363285 
160 2 31.40696589 
160 17 38.990814891 
161 11 20.075526747 
161 19 21.847561585 
161 6 5.043921523 
161 7 17.860230627 
162 18 26.394053558 
162 16 23.660972728 
162 3 42.819888645 
164 14 20.008232624 
164 16 8.524443562 
164 19 17.641483357 
165 14 29.108113045 
165 5 13.115058832 
165 7 26.491112856 
165 13 17.252062727 
167 6 6.240954345 
167 0 23.091753659 
167 7 19.057263449 
167 10 21.425613392 
167 4 27.297511172 
167 9 16.634369135 
168 0 34.385350873 
168 6 17.534551559 
168 7 30.350860663 
168 4 38.591108386 
168 9 27.927966349 
168 10 32.719210606 
168 19 33.534583086 
169 16 16.827130559 
169 17 26.846759955 
170 17 29.437113178 
170 8 15.077050971 
170 14 17.918491304 
170 2 24.829235162 
170 12 30.192941363 
171 10 12.540809909 
171 14 16.418250892 
171 16 4.93446183 
172 11 8.555726594 
172 13 14.188050849 
173 6 17.462416706 
173 16 16.294696663 
173 18 22.65311066 
173 10 19.371082406 
173 14 26.880629836 
173 8 24.039189503 
173 17 32.704098659 
173 12 30.483955859 
174 4 33.503631198 
174 9 22.840489161 
174 1 17.266268006 
174 5 6.473605402 
174 7 19.849659426 
174 13 10.610609297 
175 2 16.652659857 
175 17 24.236508858 
175 19 25.145397438 
175 7 28.716807028 
175 12 22.016366058 
175 1 15.158363159 
176 6 28.258761634 
176 17 33.931715133 
177 11 29.315652701 
177 16 12.234939113 
177 7 27.100356581 
178 8 14.297947575 
178 14 17.139387908 
178 17 28.658009782 
179 19 32.237911091 
179 10 30.176039336 
179 15 14.864457 
179 14 32.446730456 
179 3 34.718570905 
179 17 31.329022511 
179 2 23.74517351 
179 12 29.108879711 
180 5 25.67941614 
180 13 28.254462482 
180 9 31.789142059 
180 11 22.622138227 
182 6 30.292611135 
182 16 23.392524796 
182 2 32.218077791 
182 12 37.581783992 
182 17 39.801926792 
184 10 23.188933914 
184 15 7.877351578 
184 3 27.731465483 
184 2 16.758068088 
184 12 22.121774289 
184 17 24.341917089 
184 19 25.250805669 
185 14 32.434216516 
185 16 20.950427454 
185 3 39.148512545 
186 0 36.908188384 
186 8 19.120816805 
187 8 20.234610053 
187 7 21.912301842 
187 4 35.566273614 
187 9 24.903131577 
187 1 19.328910422 
187 5 8.536247818 
187 13 12.673251713 
188 6 26.218510067 
188 16 19.318423728 
188 2 28.143976723 
188 17 35.727825724 
189 10 28.175650706 
189 15 12.86406837 
189 3 32.718182275 
189 2 21.74478488 
189 12 27.108491081 
189 19 30.237522461 
189 0 42.81477543 
189 8 25.027403851 
190 13 12.711564215 
190 9 16.246243792 
190 11 7.07923996 
191 14 17.877184358 
191 16 6.393395296 
191 19 15.510435091 
192 18 12.599913584 
192 3 29.025748671 
193 0 25.522307168 
193 6 8.671507854 
193 7 21.487816958 
193 4 29.728064681 
193 9 19.064922644 
193 10 23.856166901 
193 19 24.671539381 
194 3 36.807986885 
194 4 45.39343084 
194 9 34.730288803 
194 1 29.156067648 
194 5 18.363405044 
194 13 22.500408939 
195 7 19.98171007 
195 4 33.635681842 
195 9 22.972539805 
195 1 17.39831865 
195 5 6.605656046 
195 13 10.742659941 
196 6 5.556705258 
196 0 22.407504572 
196 7 18.373014362 
198 19 25.451274695 
198 2 16.958537114 
198 7 29.022684285 
198 12 22.322243315 
198 1 15.464240416 
198 0 35.668990546 
198 8 17.881618967 
171 13 13.242208411 
171 19 21.529105502 
40 3 25.412373604 
40 16 7.214288513 
120 4 50.409985256 
120 9 39.746843219 
120 18 31.541721399 
69 1 34.725097318 
69 4 50.96246051 
69 5 23.932434714 
69 7 37.308488738 
69 9 40.299318473 
69 13 28.069438609 
149 9 23.766082345 
149 11 14.599078513 
18 3 26.355912636 
137 0 41.707679111 
18 16 8.157827545 
98 6 27.915437213 
98 16 21.015350874 
98 18 22.695958827 
178 4 36.856367328 
178 6 15.799810501 
178 7 28.616119605 
178 9 26.193225291 
178 10 30.984469548 
47 4 49.131745456 
47 6 28.075188629 
47 7 40.891497733 
47 9 38.468603419 
127 1 29.431880758 
47 18 34.033347339 
127 6 14.693383699 
127 7 27.509692803 
127 9 25.086798489 
128 0 28.343108461 
165 2 22.679412946 
168 3 37.512558148 
122 3 24.11615589 
156 18 22.275613038 
25 4 47.543762956 
25 18 22.688483004 
105 12 30.970699189 
105 17 33.190841989 
105 19 34.099730569 
185 4 52.151195936 
185 5 25.12117014 
185 9 41.488053899 
185 13 29.258174035 
54 0 23.233637752 
54 4 27.439395265 
54 6 6.382838438 
54 7 19.199147542 
134 18 17.074149094 
3 2 18.544937247 
3 12 23.908643448 
3 15 9.664220737 
3 17 26.128786248 
132 19 54.345611903 
174 3 27.011356911 
32 5 30.39691181 
32 7 43.772965834 
32 18 37.851731688 
112 4 38.649544004 
112 6 17.592987177 
61 1 31.115172756 
61 4 47.352535948 
61 5 20.322510152 
61 7 33.698564176 
61 9 36.689393911 
61 13 24.459514047 
141 1 33.375464594 
141 4 49.612827786 
141 5 22.58280199 
141 9 38.949685749 
141 13 26.719805885 
10 9 39.209303388 
10 11 30.042299556 
90 1 36.60110584 
90 5 25.808443236 
90 7 39.18449726 
90 8 35.540280044 
90 13 29.945447131 
155 2 24.957715111 
170 4 37.635470724 
170 6 16.578913897 
170 7 29.395223001 
170 10 31.763572944 
8 17 24.600730225 
119 0 30.569268599 
39 18 18.099382784 
119 4 34.775026112 
119 6 13.718469285 
119 7 26.534778389 
119 10 28.903128332 
119 19 29.718500812 
68 9 30.15798334 
68 11 20.990979508 
148 8 26.90626082 
148 12 42.022151212 
148 14 29.747701153 
148 17 41.266323027 
17 1 20.011509285 
17 4 36.248872477 
17 5 9.218846681 
17 9 25.58573044 
17 13 13.355850576 
97 1 33.574196386 
97 7 43.10763616 
97 9 39.148231651 
97 11 29.981227819 
97 12 40.432199285 
97 17 42.652342085 
97 19 43.561230665 
177 5 16.405681799 
177 13 20.542685694 
46 2 20.052810176 
46 3 31.026207571 
46 12 25.416516377 
46 15 11.172093666 
126 14 25.5102309 
126 16 14.026441838 
126 18 29.939296047 
138 0 40.160461851 
138 2 17.045568752 
75 18 24.683928441 
155 4 43.304227168 
155 9 32.641085131 
155 15 16.076998601 
155 17 32.541564112 
24 4 37.170086203 
24 9 26.506944166 
24 18 23.737280609 
104 14 16.886853738 
104 16 5.403064676 
184 18 19.558077657 
53 6 26.823583147 
53 7 39.639892251 
53 11 41.855188371 
112 0 34.443786491 
133 2 19.520381595 
133 12 24.884087796 
133 15 10.639665085 
140 3 29.174797324 
2 0 26.02871493 
2 4 30.234472443 
2 6 9.177915616 
2 7 21.99422472 
2 10 24.362574663 
2 19 25.177947143 
82 16 8.552409624 
162 5 27.831715414 
162 11 29.962606396 
31 12 30.006925171 
31 15 15.76250246 
31 17 32.227067971 
60 4 44.383313291 
60 5 17.353287495 
60 7 30.729341519 
60 9 33.720171254 
60 13 21.49029139 
140 2 18.201399929 
140 4 44.347079448 
140 9 33.683937411 
140 10 24.632265755 
140 12 23.56510613 
140 15 9.320683419 
140 17 25.78524893 
140 19 26.69413751 
9 3 36.445277316 
9 14 29.730981287 
9 16 18.247192225 
89 4 41.233862914 
89 6 18.815055972 
89 7 31.631365076 
89 10 35.361965134 
169 0 46.400451105 
8 19 25.509618805 
169 5 20.997873245 
169 7 34.373927269 
169 8 28.613079526 
169 13 25.13487714 
38 0 61.290741883 
38 8 43.503370304 
151 3 27.079101968 
38 12 62.36665011 
38 18 56.671734199 
118 4 45.913964853 
118 18 22.094140899 
67 9 29.29085062 
67 11 20.123846788 
147 6 14.399400854 
147 9 24.792815644 
16 9 29.270663039 
16 11 20.103659207 
176 0 53.485406283 
104 3 23.601149767 
176 8 35.698034704 
176 16 30.038683132 
45 4 42.793727244 
45 5 15.763701448 
45 7 29.139755472 
45 8 25.90241809 
45 9 32.130585207 
45 13 19.900705343 
107 3 35.394050264 
98 3 39.121793914 
154 4 54.008474816 
154 18 28.639446279 
23 3 59.090904175 
23 18 42.665069088 
151 15 7.224988063 
52 2 29.379198764 
52 3 40.352596159 
52 4 55.524878283 
52 9 44.861736246 
52 10 35.81006459 
52 12 34.742904965 
52 15 20.498482254 
52 17 36.963047765 
52 19 37.871936345 
132 7 53.892017398 
132 9 49.932612889 
132 11 40.765609057 
132 12 51.216580523 
138 3 28.018966147 
132 17 53.436723323 
115 12 26.53348086 
1 18 19.148804683 
81 16 9.488724714 
80 3 52.631438242 
161 14 18.307632083 
161 16 6.823843021 
177 1 27.198344403 
110 1 22.099726435 
30 18 17.207979977 
110 4 38.337089627 
110 5 11.307063831 
110 13 15.444067726 
110 19 26.173286455 
59 11 29.740051484 
139 11 21.999539558 
8 2 17.016881224 
187 2 18.100601932 
8 10 23.44774705 
8 12 22.380587425 
8 15 8.136164714 
88 3 35.520820046 
88 14 28.806524017 
88 16 17.322734955 
168 16 19.314473057 
37 3 41.229854816 
37 16 23.031769725 
66 11 24.853580216 
66 14 24.132471703 
66 15 12.424395108 
66 19 21.765722436 
146 16 5.486885151 
15 3 39.441534069 
15 9 39.094159108 
15 11 29.927155276 
95 8 10.265131972 
95 12 25.381022364 
95 14 13.106572305 
175 6 24.672147812 
175 16 17.772061473 
175 18 19.452669426 
44 6 17.384686483 
44 11 25.849427176 
124 1 34.334095474 
124 4 39.199026419 
124 5 23.54143287 
124 9 28.535884382 
124 10 33.327128639 
124 13 27.678436765 
159 10 40.180443124 
153 1 19.293442373 
153 4 35.530805565 
153 5 8.500779769 
153 9 24.867663528 
153 13 12.637783664 
22 1 42.337320744 
22 3 56.688147145 
22 9 47.911356009 
22 11 38.744352177 
102 18 27.111491989 
182 5 27.563267482 
182 7 40.939321506 
182 18 35.01808736 
51 18 18.360233867 
131 12 27.43802702 
81 3 27.686809805 
131 17 29.65816982 
0 3 33.447590698 
0 16 15.249505607 
165 3 33.652810341 
80 18 36.205603155 
131 2 22.074320819 
131 3 33.047718214 
123 1 37.962858364 
160 18 34.206975459 
131 15 13.193604309 
29 1 29.731011522 
29 5 18.938348918 
29 7 32.314402942 
29 13 23.075352813 
109 6 17.74368038 
109 11 32.775285604 
109 18 31.939716472 
109 19 36.280119477 
189 6 26.529266777 
189 18 24.544794449 
58 0 29.212090366 
58 4 33.417847879 
58 6 12.361291052 
58 19 28.361322579 
138 4 43.191248271 
138 10 23.476434578 
138 12 22.409274953 
138 15 8.164852242 
138 17 24.629417753 
138 19 25.538306333 
7 1 26.934943222 
7 4 43.172306414 
7 5 16.142280618 
7 9 32.509164377 
7 13 20.279284513 
87 4 52.544350456 
87 18 28.375977189 
167 16 8.020875843 
90 0 53.327651623 
36 8 19.40468739 
36 12 34.520577782 
36 14 22.246127723 
159 7 37.812093181 
36 17 33.764749597 
116 16 10.353805891 
65 1 18.299476728 
65 4 34.53683992 
65 5 7.506814124 
65 9 23.873697883 
65 13 11.643818019 
145 1 25.404059115 
145 4 41.641422307 
145 5 14.611396511 
145 9 30.97828027 
145 13 18.748400406 
113 3 41.682567336 
14 6 25.52110811 
14 7 38.337417214 
14 11 40.552713334 
94 0 36.849509711 
94 2 20.290005188 
94 12 25.653711389 
94 15 11.409288678 
174 2 16.037959516 
174 10 22.468825342 
174 12 21.401665717 
174 15 7.157243006 
174 17 23.621808517 
174 19 24.530697097 
43 3 34.742447888 
43 16 16.544362797 
123 5 27.17019576 
123 13 31.307199655 
187 3 29.073999327 
175 3 35.878504513 
126 3 32.224526929 
146 3 23.684970242 
72 8 17.560681634 
72 12 32.676572026 
72 14 20.402121967 
72 17 31.920743841 
152 2 22.065885022 
152 12 27.429591223 
152 15 13.185168512 
152 17 29.649734023 
21 2 17.34004262 
21 3 28.313440015 
21 10 23.770908446 
21 12 22.703748821 
21 15 8.45932611 
21 17 24.923891621 
21 19 25.832780201 
101 8 24.07855563 
101 12 36.164819135 
101 15 21.920396424 
152 3 33.039282417 
130 4 52.546777917 
130 9 41.88363588 
130 18 29.528837839 
141 3 43.014532976 
79 1 24.578017438 
79 5 13.785354834 
79 13 17.922358729 
159 0 41.846583391 
79 19 23.451084447 
159 4 46.052340904 
159 6 24.995784077 
105 2 25.606992988 
105 3 36.580390383 
159 19 40.995815604 
169 1 31.790535849 
28 18 25.147660641 
28 19 25.606881839 
188 5 23.489166414 
188 7 36.865220438 
162 9 39.129610228 
162 1 38.624378018 
188 18 30.943986292 
137 1 23.881172202 
57 18 20.288875032 
137 4 40.118535394 
137 5 13.088509598 
137 7 26.464563622 
137 9 29.455393357 
137 13 17.225513493 
6 18 18.315027867 
86 14 23.534186653 
86 18 26.561056739 
86 19 21.167437386 
35 1 28.515551536 
35 5 17.722888932 
35 8 12.456745864 
35 14 15.298186197 
35 17 26.816808071 
115 2 21.169774659 
115 4 47.315454178 
115 9 36.652312141 
115 15 12.289058149 
115 17 28.75362366 
115 19 29.66251224 
64 5 23.653134346 
64 7 37.02918837 
64 18 31.107954224 
167 3 26.218960934 
13 8 13.103402909 
13 14 15.944843242 
93 0 30.168801697 
93 4 34.37455921 
93 6 13.318002383 
173 9 35.38866733 
42 8 8.877485322 
42 12 23.993375714 
42 14 11.718925655 
42 17 23.237547529 
122 14 17.401859861 
122 18 16.969160481 
71 14 41.676175324 
71 16 30.192386262 
151 2 16.105704573 
71 19 39.309426057 
151 10 22.536570399 
151 12 21.469410774 
142 3 33.416423736 
151 17 23.689553574 
151 19 24.598442154 
20 9 31.437142988 
20 11 22.270139156 
20 16 20.963506803 
100 4 34.58209962 
100 6 13.525542793 
100 7 26.341851897 
100 10 28.71020184 
100 19 29.52557432 
180 8 23.92962851 
180 12 39.045518902 
180 14 26.771068843 
180 15 26.363053744 
180 17 38.289690717 
170 0 33.429713211 
49 0 28.960431538 
49 4 33.166189051 
49 6 12.109632224 
49 7 24.925941328 
49 10 27.294291271 
49 19 28.109663751 
164 7 26.071240272 
78 0 61.049227633 
78 8 43.261856054 
78 12 62.12513586 
78 18 56.430219949 
27 6 22.205020684 
27 7 35.021329788 
116 3 28.551890982 
27 11 37.236625908 
107 2 24.420652869 
107 4 50.566332388 
107 9 39.903190351 
107 10 30.851518695 
107 12 29.78435907 
107 15 15.539936359 
107 17 32.00450187 
187 12 23.464308133 
187 15 9.219885422 
187 17 25.684450933 
160 4 59.04686086 
56 1 29.065624304 
56 4 45.302987496 
56 5 18.2729617 
56 9 34.639845459 
56 11 26.957301136 
136 9 23.479239115 
136 11 14.312235283 
5 9 29.832842101 
5 11 20.665838269 
85 4 51.360482266 
85 6 30.303925439 
85 7 43.120234543 
85 9 40.697340229 
85 18 42.208005798 
165 4 48.825092465 
132 1 44.358577624 
165 9 38.161950428 
165 10 29.110278772 
165 12 28.043119147 
165 15 13.798696436 
165 17 30.263261947 
34 3 34.312473027 
34 6 23.106116326 
185 1 35.913832744 
34 16 16.206029987 
34 18 17.88663794 
114 8 15.606676248 
114 12 30.72256664 
114 14 18.448116581 
114 17 29.966738455 
12 17 34.732129829 
63 4 43.343247767 
63 6 22.28669094 
63 7 35.103000044 
63 9 32.68010573 
63 10 37.471349987 
143 0 42.499730642 
143 1 31.367633274 
143 5 20.57497067 
143 7 33.951024694 
143 8 24.712359063 
143 13 24.711974565 
12 2 27.148280828 
12 3 38.121678223 
12 10 33.579146654 
12 15 18.267564318 
92 1 28.412653504 
12 19 35.641018409 
92 4 44.650016696 
92 5 17.6199909 
92 7 30.996044924 
92 9 33.986874659 
92 13 21.756994795 
172 8 9.863216877 
172 12 24.979107269 
41 5 35.94507488 
41 7 49.321128904 
41 18 43.399894758 
121 9 40.931681178 
121 11 31.764677346 
70 1 19.934768915 
70 5 9.142106311 
70 7 22.518160335 
70 13 13.279110206 
150 2 19.621497535 
150 12 24.985203736 
150 15 10.740781025 
150 19 28.114235116 
99 1 20.849289256 
99 4 37.086652448 
99 5 10.056626652 
99 9 26.423510411 
99 13 14.193630547 
157 2 27.212811828 
179 4 52.163709876 
179 18 26.545183079 
48 3 23.572875461 
48 14 16.858579432 
48 16 5.37479037 
82 3 26.750494715 
128 6 11.492309147 
128 7 24.308618251 
77 0 52.770461553 
77 8 34.983089974 
77 18 31.426666159 
157 3 38.186209223 
157 10 33.643677654 
157 12 32.576518029 
157 15 18.332095318 
157 17 34.796660829 
